index,airline,date_of_journey,Source,destination,route,dep_time,Arrival_time,Duration,Total_stops,Additional_info,Price,passengers
2963,Alliance Air,2022-04-23,Varanasi,Hyderabad,VAR-GUW-KOL-RAI-HYD,19:42,17:13,10h 0min,3 stops,Extra baggage allowed,14190,22
2964,AirAsia India,2025-07-04,Indore,Ahmedabad,IND-DEL-VAR-KOL-AHM,16:40,11:24,2h 45min,3 stops,Extra baggage allowed,14787,56
2965,IndiGo,2023-09-18,Delhi,Pune,DEL-COC-BAN-PUN,06:55,19:19,11h 45min,2 stops,In-flight meal not included,6330,118
2966,Alliance Air,2020-03-17,Guwahati,Bhubaneswar,GUW-BHU,12:27,13:51,8h 30min,non-stop,Business class available,3575,55
2967,Akasa Air,2021-11-27,Bhubaneswar,Delhi,BHU-RAI-DEL,02:25,22:02,5h 45min,1 stop,Extra baggage allowed,12232,82
2968,TruJet,2024-12-20,Chennai,Goa,CHE-GOA,11:12,09:35,13h 30min,non-stop,New aircraft,2729,53
2969,Air India,2023-03-12,Guwahati,Hyderabad,GUW-HYD,11:30,20:19,3h 15min,non-stop,No info,11796,126
2970,GoAir,2023-10-03,Surat,Indore,SUR-PUN-DEL-BHU-IND,21:04,23:55,7h 0min,3 stops,No info,8533,39
2971,Air India,2025-10-02,Varanasi,Patna,VAR-MUM-PAT,17:12,05:20,6h 30min,1 stop,Business class available,12201,150
2972,SpiceJet,2023-07-03,Varanasi,Cochin,VAR-BAN-HYD-COC,10:07,12:12,11h 30min,2 stops,New aircraft,10501,79
2973,Akasa Air,2023-08-02,Guwahati,Surat,GUW-BAN-COC-SUR,19:48,22:12,11h 45min,2 stops,Red-eye flight,10868,88
2974,Air India,2025-12-10,Cochin,Mumbai,COC-CHE-PAT-SUR-MUM,00:54,18:14,12h 15min,3 stops,1 Long layover,6611,131
2975,AirAsia India,2024-04-17,Indore,Varanasi,IND-VAR,12:18,19:44,12h 30min,non-stop,In-flight meal not included,9605,105
2976,AirAsia India,2024-09-20,Kolkata,Indore,KOL-IND,15:07,15:27,15h 15min,non-stop,No info,8246,146
2977,IndiGo,2020-02-23,Lucknow,Patna,LUC-GUW-COC-IND-PAT,23:34,10:36,6h 0min,3 stops,1 Long layover,8270,53
2978,Vistara,2023-10-16,Bangalore,Lucknow,BAN-HYD-LUC,09:34,09:43,10h 15min,1 stop,WiFi available,12700,137
2979,SpiceJet,2024-01-07,Kolkata,Jaipur,KOL-VAR-CHE-JAI,11:55,10:50,2h 45min,2 stops,In-flight meal not included,12232,79
2980,AirAsia India,2025-07-13,Ahmedabad,Mumbai,AHM-VAR-MUM,12:06,13:11,12h 45min,1 stop,Extra baggage allowed,8160,129
2981,Alliance Air,2025-01-13,Indore,Lucknow,IND-PAT-LUC,23:28,09:55,6h 45min,1 stop,New aircraft,4937,42
2982,Vistara,2019-03-26,Mumbai,Pune,MUM-VAR-COC-HYD-PUN,13:29,11:09,8h 30min,3 stops,Business class available,13029,89
2983,Star Air,2020-12-18,Varanasi,Delhi,VAR-RAI-BAN-DEL,08:24,22:23,13h 45min,2 stops,Red-eye flight,14321,18
2984,Alliance Air,2019-09-12,Surat,Goa,SUR-LUC-MUM-GOA,10:16,08:16,10h 45min,2 stops,Limited seats,13236,45
2985,Alliance Air,2022-07-03,Bhubaneswar,Varanasi,BHU-MUM-VAR,04:12,00:51,15h 45min,1 stop,Limited seats,7175,39
2986,SpiceJet,2019-09-17,Delhi,Lucknow,DEL-MUM-BHU-JAI-LUC,13:02,16:09,6h 45min,3 stops,Limited seats,16639,68
2987,GoAir,2025-04-26,Hyderabad,Bangalore,HYD-MUM-RAI-BAN,18:21,06:58,10h 0min,2 stops,WiFi available,7678,93
2988,TruJet,2025-08-09,Surat,Patna,SUR-RAI-PAT,06:35,16:21,13h 0min,1 stop,New aircraft,7496,51
2989,IndiGo,2023-03-17,Lucknow,Kolkata,LUC-COC-SUR-VAR-KOL,07:10,09:45,6h 15min,3 stops,WiFi available,16177,50
2990,Akasa Air,2024-06-04,Ahmedabad,Cochin,AHM-VAR-CHE-HYD-COC,02:36,11:21,6h 30min,3 stops,New aircraft,13780,60
2991,GoAir,2025-07-22,Chennai,Varanasi,CHE-RAI-VAR,05:00,02:46,13h 15min,1 stop,Business class available,10565,132
2992,Vistara,2020-01-13,Bangalore,Indore,BAN-GOA-CHE-BHU-IND,21:53,21:32,7h 30min,3 stops,Limited seats,12119,79
2993,AirAsia India,2020-06-05,Guwahati,Hyderabad,GUW-HYD,10:03,14:02,9h 30min,non-stop,Business class available,6373,172
2994,Air India,2022-08-24,Chennai,Guwahati,CHE-MUM-GUW,05:11,22:27,9h 15min,1 stop,Extra baggage allowed,5292,67
2995,Akasa Air,2025-07-17,Varanasi,Goa,VAR-NAG-JAI-SUR-GOA,03:40,03:33,11h 30min,3 stops,Limited seats,12110,70
2996,Alliance Air,2025-02-13,Hyderabad,Varanasi,HYD-IND-COC-BHU-VAR,10:50,10:59,11h 45min,3 stops,No info,8299,29
2997,AirAsia India,2025-11-10,Jaipur,Nagpur,JAI-HYD-NAG,12:30,09:06,6h 15min,1 stop,WiFi available,5541,105
2998,Star Air,2024-10-18,Indore,Guwahati,IND-VAR-GUW,21:38,05:23,6h 15min,1 stop,Extra baggage allowed,6978,40
2999,Akasa Air,2022-11-03,Patna,Chennai,PAT-DEL-HYD-CHE,22:36,13:10,2h 15min,2 stops,Red-eye flight,10706,70
3000,IndiGo,2019-08-13,Bangalore,Mumbai,BAN-NAG-MUM,06:36,08:00,8h 45min,1 stop,Red-eye flight,12585,116
3001,Akasa Air,2020-08-20,Surat,Jaipur,SUR-RAI-KOL-DEL-JAI,08:36,12:47,6h 30min,3 stops,Limited seats,16150,61
3002,GoAir,2020-12-06,Patna,Ahmedabad,PAT-GUW-DEL-AHM,10:14,06:29,10h 45min,2 stops,1 Long layover,5933,80
3003,TruJet,2019-08-09,Bangalore,Patna,BAN-MUM-SUR-PAT,04:02,00:49,5h 30min,2 stops,New aircraft,12571,52
3004,TruJet,2021-12-03,Hyderabad,Ahmedabad,HYD-GUW-AHM,12:16,06:42,3h 0min,1 stop,Extra baggage allowed,7907,40
3005,Akasa Air,2022-02-13,Raipur,Goa,RAI-BHU-GOA,23:55,23:39,12h 15min,1 stop,No info,11403,94
3006,Star Air,2024-12-01,Delhi,Kolkata,DEL-PUN-MUM-KOL,13:46,19:57,10h 0min,2 stops,Red-eye flight,13462,19
3007,Star Air,2024-05-07,Lucknow,Mumbai,LUC-BAN-JAI-COC-MUM,06:48,23:00,7h 15min,3 stops,In-flight meal not included,14834,13
3008,Alliance Air,2023-02-10,Raipur,Bhubaneswar,RAI-KOL-GUW-PUN-BHU,19:33,19:56,15h 15min,3 stops,1 Long layover,12514,24
3009,Akasa Air,2022-02-08,Delhi,Ahmedabad,DEL-VAR-CHE-KOL-AHM,02:23,14:41,6h 45min,3 stops,1 Long layover,17698,42
3010,IndiGo,2020-02-11,Varanasi,Kolkata,VAR-AHM-RAI-KOL,03:29,00:28,4h 15min,2 stops,WiFi available,10413,65
3011,Air India,2021-06-07,Varanasi,Guwahati,VAR-SUR-MUM-GUW,23:31,02:10,2h 30min,2 stops,WiFi available,8722,81
3012,SpiceJet,2024-07-14,Goa,Chennai,GOA-KOL-CHE,12:21,09:55,3h 15min,1 stop,Business class available,4341,101
3013,Akasa Air,2020-09-19,Lucknow,Pune,LUC-IND-GUW-PUN,05:32,04:05,7h 30min,2 stops,Business class available,7009,118
3014,Alliance Air,2020-04-04,Mumbai,Goa,MUM-JAI-GOA,12:17,20:06,2h 30min,1 stop,New aircraft,10604,35
3015,Air India,2021-05-03,Varanasi,Cochin,VAR-MUM-GUW-HYD-COC,14:40,06:19,15h 15min,3 stops,Extra baggage allowed,10501,113
3016,IndiGo,2019-01-28,Indore,Pune,IND-MUM-LUC-PUN,12:58,07:44,11h 30min,2 stops,Red-eye flight,11047,82
3017,IndiGo,2023-10-09,Patna,Ahmedabad,PAT-AHM,04:56,15:15,10h 15min,non-stop,1 Long layover,6259,161
3018,Alliance Air,2021-01-18,Nagpur,Goa,NAG-LUC-DEL-RAI-GOA,03:19,01:42,5h 15min,3 stops,1 Long layover,10340,30
3019,Akasa Air,2019-03-19,Bhubaneswar,Mumbai,BHU-BAN-MUM,18:23,07:48,13h 45min,1 stop,WiFi available,4586,112
3020,SpiceJet,2025-08-09,Delhi,Cochin,DEL-SUR-RAI-IND-COC,22:57,08:35,1h 45min,3 stops,New aircraft,12843,89
3021,Akasa Air,2020-02-12,Hyderabad,Mumbai,HYD-MUM,09:44,21:24,12h 0min,non-stop,No info,11409,129
3022,AirAsia India,2019-03-26,Bangalore,Surat,BAN-COC-IND-LUC-SUR,13:49,20:59,3h 45min,3 stops,Limited seats,14443,49
3023,Akasa Air,2020-03-27,Varanasi,Patna,VAR-IND-PAT,09:43,04:58,6h 45min,1 stop,Extra baggage allowed,12658,98
3024,Star Air,2025-09-21,Guwahati,Indore,GUW-PUN-RAI-IND,10:53,16:11,8h 30min,2 stops,Extra baggage allowed,8189,36
3025,Alliance Air,2024-03-22,Goa,Surat,GOA-HYD-KOL-SUR,01:09,07:02,8h 45min,2 stops,Extra baggage allowed,10159,26
3026,Akasa Air,2023-05-17,Jaipur,Guwahati,JAI-GUW,19:01,08:05,13h 0min,non-stop,Extra baggage allowed,6186,101
3027,Vistara,2024-02-15,Bangalore,Ahmedabad,BAN-PUN-CHE-MUM-AHM,22:54,21:34,11h 0min,3 stops,No info,14967,33
3028,GoAir,2022-09-21,Nagpur,Bangalore,NAG-PAT-PUN-BAN,15:50,14:53,5h 45min,2 stops,WiFi available,11620,89
3029,SpiceJet,2022-09-01,Varanasi,Patna,VAR-DEL-SUR-PAT,00:30,00:54,9h 15min,2 stops,New aircraft,13959,115
3030,Akasa Air,2023-11-07,Lucknow,Varanasi,LUC-VAR,16:12,04:27,8h 30min,non-stop,Extra baggage allowed,5896,106
3031,SpiceJet,2025-05-24,Patna,Delhi,PAT-VAR-SUR-LUC-DEL,04:16,07:33,7h 45min,3 stops,Business class available,16720,41
3032,Alliance Air,2023-06-11,Goa,Guwahati,GOA-GUW,16:12,20:53,10h 45min,non-stop,Red-eye flight,3371,53
3033,Air India,2021-09-25,Cochin,Patna,COC-AHM-BAN-HYD-PAT,11:25,07:09,3h 0min,3 stops,Business class available,6707,128
3034,TruJet,2022-01-15,Delhi,Surat,DEL-PUN-COC-PAT-SUR,18:56,21:13,1h 30min,3 stops,WiFi available,13159,20
3035,IndiGo,2022-10-20,Surat,Lucknow,SUR-DEL-LUC,12:58,14:59,5h 15min,1 stop,No info,9606,80
3036,AirAsia India,2019-07-03,Bhubaneswar,Lucknow,BHU-IND-JAI-AHM-LUC,22:43,03:49,5h 15min,3 stops,Limited seats,12568,89
3037,Air India,2025-07-09,Chennai,Ahmedabad,CHE-RAI-MUM-AHM,08:29,07:14,9h 0min,2 stops,Red-eye flight,12996,94
3038,SpiceJet,2022-04-26,Kolkata,Ahmedabad,KOL-CHE-JAI-MUM-AHM,20:42,00:04,3h 0min,3 stops,No info,11265,79
3039,Star Air,2025-05-19,Bangalore,Patna,BAN-PUN-RAI-GUW-PAT,04:21,18:21,5h 0min,3 stops,Red-eye flight,11611,28
3040,GoAir,2022-01-26,Lucknow,Chennai,LUC-NAG-JAI-KOL-CHE,04:40,21:20,4h 30min,3 stops,Red-eye flight,14506,48
3041,Vistara,2025-11-07,Jaipur,Delhi,JAI-RAI-LUC-GUW-DEL,18:08,05:51,1h 15min,3 stops,WiFi available,14618,53
3042,Vistara,2022-02-08,Ahmedabad,Varanasi,AHM-GOA-MUM-GUW-VAR,10:17,05:08,14h 30min,3 stops,Red-eye flight,6689,85
3043,Star Air,2022-06-16,Hyderabad,Goa,HYD-PAT-GOA,15:39,16:18,1h 45min,1 stop,No info,13158,37
3044,Star Air,2024-11-14,Kolkata,Jaipur,KOL-COC-JAI,19:58,08:02,13h 30min,1 stop,Business class available,4018,40
3045,GoAir,2024-10-08,Ahmedabad,Lucknow,AHM-RAI-CHE-IND-LUC,07:20,19:53,7h 0min,3 stops,Extra baggage allowed,11420,87
3046,Star Air,2020-04-12,Indore,Jaipur,IND-GOA-MUM-JAI,22:03,16:35,15h 0min,2 stops,1 Long layover,13626,46
3047,Vistara,2023-03-08,Bangalore,Indore,BAN-SUR-IND,17:55,11:46,14h 0min,1 stop,New aircraft,8104,98
3048,TruJet,2019-05-04,Bhubaneswar,Nagpur,BHU-VAR-NAG,22:48,10:59,15h 15min,1 stop,Extra baggage allowed,9537,40
3049,IndiGo,2023-07-22,Cochin,Raipur,COC-AHM-JAI-KOL-RAI,03:01,12:55,6h 30min,3 stops,Business class available,9643,57
3050,Alliance Air,2025-01-14,Cochin,Hyderabad,COC-HYD,05:26,10:29,7h 15min,non-stop,New aircraft,7985,51
3051,TruJet,2019-01-03,Goa,Patna,GOA-SUR-JAI-BAN-PAT,03:50,14:12,13h 0min,3 stops,In-flight meal not included,11581,30
3052,Akasa Air,2021-02-12,Hyderabad,Patna,HYD-PAT,04:37,21:05,2h 15min,non-stop,Limited seats,9035,91
3053,Vistara,2025-03-05,Jaipur,Patna,JAI-SUR-PAT,17:49,18:41,7h 45min,1 stop,WiFi available,9638,86
3054,Akasa Air,2022-02-24,Ahmedabad,Surat,AHM-SUR,19:38,22:28,3h 30min,non-stop,1 Long layover,6079,129
3055,IndiGo,2019-12-22,Lucknow,Goa,LUC-GOA,17:59,23:31,6h 30min,non-stop,No info,5798,150
3056,AirAsia India,2021-10-26,Delhi,Guwahati,DEL-JAI-GUW,04:40,10:53,12h 45min,1 stop,Business class available,6569,70
3057,Alliance Air,2024-02-28,Chennai,Delhi,CHE-DEL,13:41,05:16,3h 0min,non-stop,In-flight meal not included,8623,62
3058,AirAsia India,2022-04-22,Indore,Raipur,IND-BAN-RAI,02:51,23:06,10h 30min,1 stop,No info,5539,86
3059,Alliance Air,2025-10-25,Ahmedabad,Indore,AHM-NAG-IND,21:27,12:22,3h 15min,1 stop,Red-eye flight,6980,46
3060,TruJet,2019-06-18,Patna,Bhubaneswar,PAT-BHU,09:14,08:04,3h 0min,non-stop,WiFi available,7417,51
3061,AirAsia India,2024-10-27,Delhi,Indore,DEL-IND,00:45,13:26,13h 45min,non-stop,No info,11530,117
3062,Star Air,2023-03-10,Nagpur,Ahmedabad,NAG-PUN-COC-KOL-AHM,11:01,01:57,14h 30min,3 stops,Red-eye flight,10186,23
3063,IndiGo,2021-08-08,Chennai,Varanasi,CHE-VAR,04:09,12:04,11h 0min,non-stop,1 Long layover,10577,106
3064,IndiGo,2025-08-18,Delhi,Surat,DEL-GOA-SUR,12:22,12:26,12h 30min,1 stop,In-flight meal not included,6695,132
3065,Air India,2020-06-14,Kolkata,Lucknow,KOL-MUM-CHE-VAR-LUC,10:33,01:49,11h 30min,3 stops,Limited seats,12700,140
3066,Akasa Air,2025-03-18,Patna,Ahmedabad,PAT-BAN-GUW-VAR-AHM,19:06,18:09,11h 30min,3 stops,Business class available,7022,97
3067,Akasa Air,2020-10-13,Delhi,Bangalore,DEL-IND-BAN,19:59,15:47,10h 15min,1 stop,Extra baggage allowed,4028,101
3068,GoAir,2021-11-13,Bhubaneswar,Mumbai,BHU-COC-MUM,00:28,17:49,14h 0min,1 stop,New aircraft,8292,124
3069,Air India,2020-12-14,Varanasi,Raipur,VAR-AHM-SUR-LUC-RAI,19:38,07:08,11h 30min,3 stops,Business class available,15385,110
3070,Akasa Air,2023-05-03,Pune,Guwahati,PUN-CHE-GUW,21:08,17:30,15h 0min,1 stop,New aircraft,7183,117
3071,Star Air,2023-05-18,Ahmedabad,Patna,AHM-KOL-GOA-PAT,21:49,03:37,2h 45min,2 stops,Business class available,5365,46
3072,Vistara,2024-02-15,Pune,Guwahati,PUN-LUC-HYD-GUW,06:55,09:21,2h 30min,2 stops,Limited seats,6084,59
3073,IndiGo,2023-09-06,Guwahati,Nagpur,GUW-NAG,03:09,20:34,8h 45min,non-stop,WiFi available,8516,154
3074,TruJet,2022-03-23,Pune,Raipur,PUN-DEL-MUM-RAI,10:04,15:17,2h 45min,2 stops,New aircraft,5084,45
3075,Vistara,2021-02-27,Hyderabad,Nagpur,HYD-NAG,10:51,11:12,6h 15min,non-stop,In-flight meal not included,8469,127
3076,IndiGo,2019-02-24,Lucknow,Hyderabad,LUC-PAT-RAI-JAI-HYD,16:06,10:01,5h 0min,3 stops,New aircraft,9268,61
3077,Star Air,2021-09-18,Jaipur,Lucknow,JAI-LUC,06:16,02:36,2h 15min,non-stop,New aircraft,5281,36
3078,GoAir,2020-01-03,Chennai,Cochin,CHE-PAT-BAN-RAI-COC,01:15,13:48,10h 45min,3 stops,WiFi available,13924,64
3079,SpiceJet,2023-04-27,Delhi,Guwahati,DEL-JAI-GUW,12:51,00:32,8h 15min,1 stop,No info,8935,139
3080,Star Air,2021-05-04,Bangalore,Patna,BAN-JAI-COC-PAT,22:50,07:21,9h 45min,2 stops,WiFi available,10096,56
3081,Air India,2024-09-05,Lucknow,Varanasi,LUC-COC-BAN-DEL-VAR,09:33,01:36,5h 0min,3 stops,No info,15338,47
3082,IndiGo,2024-01-13,Guwahati,Delhi,GUW-DEL,19:06,23:28,2h 0min,non-stop,WiFi available,4389,139
3083,GoAir,2024-10-03,Mumbai,Chennai,MUM-PUN-DEL-SUR-CHE,10:44,01:37,3h 30min,3 stops,Extra baggage allowed,16031,36
3084,Akasa Air,2020-03-15,Delhi,Goa,DEL-PUN-GOA,23:56,12:18,5h 30min,1 stop,WiFi available,7674,91
3085,Star Air,2022-08-16,Patna,Lucknow,PAT-AHM-LUC,17:22,15:42,10h 15min,1 stop,Extra baggage allowed,6052,57
3086,Akasa Air,2019-12-21,Delhi,Kolkata,DEL-HYD-JAI-VAR-KOL,18:20,23:08,11h 0min,3 stops,Red-eye flight,17900,71
3087,Star Air,2022-10-08,Cochin,Pune,COC-AHM-SUR-PUN,11:10,02:59,1h 45min,2 stops,1 Long layover,11119,30
3088,AirAsia India,2025-03-09,Nagpur,Surat,NAG-IND-SUR,06:56,08:35,13h 0min,1 stop,Limited seats,9883,77
3089,GoAir,2020-09-19,Mumbai,Patna,MUM-VAR-KOL-PAT,05:37,00:06,11h 45min,2 stops,In-flight meal not included,7900,75
3090,Star Air,2021-09-22,Nagpur,Cochin,NAG-GOA-HYD-COC,00:16,05:57,3h 30min,2 stops,Extra baggage allowed,7424,37
3091,GoAir,2021-04-17,Indore,Bangalore,IND-CHE-BAN,05:34,14:48,2h 45min,1 stop,Extra baggage allowed,6983,129
3092,TruJet,2022-07-01,Surat,Indore,SUR-KOL-IND,10:27,22:14,4h 45min,1 stop,Business class available,12043,35
3093,SpiceJet,2020-03-26,Patna,Indore,PAT-IND,19:44,11:34,8h 45min,non-stop,Business class available,5102,118
3094,SpiceJet,2019-04-18,Nagpur,Patna,NAG-PAT,14:49,04:12,14h 30min,non-stop,Extra baggage allowed,6247,149
3095,SpiceJet,2024-08-03,Lucknow,Patna,LUC-CHE-BAN-PUN-PAT,11:03,23:06,8h 15min,3 stops,In-flight meal not included,8040,52
3096,Vistara,2019-05-02,Goa,Indore,GOA-BAN-COC-IND,04:12,19:07,7h 45min,2 stops,WiFi available,6103,126
3097,Air India,2019-06-27,Delhi,Guwahati,DEL-IND-GUW,17:47,06:47,11h 45min,1 stop,No info,5276,183
3098,TruJet,2021-06-12,Delhi,Ahmedabad,DEL-HYD-BAN-AHM,14:04,18:54,15h 0min,2 stops,Business class available,10271,52
3099,Star Air,2024-03-14,Nagpur,Patna,NAG-COC-AHM-PAT,16:40,23:34,8h 45min,2 stops,Business class available,7388,37
3100,Vistara,2024-08-09,Delhi,Goa,DEL-IND-GUW-RAI-GOA,16:03,03:42,1h 30min,3 stops,In-flight meal not included,14529,67
3101,TruJet,2022-07-13,Hyderabad,Kolkata,HYD-IND-KOL,09:41,19:52,13h 30min,1 stop,In-flight meal not included,5270,62
3102,Air India,2025-06-09,Patna,Chennai,PAT-GOA-LUC-BAN-CHE,04:16,14:15,1h 45min,3 stops,1 Long layover,14175,70
3103,Akasa Air,2024-03-12,Patna,Indore,PAT-VAR-JAI-BHU-IND,00:57,07:26,5h 0min,3 stops,Red-eye flight,14554,74
3104,TruJet,2024-04-07,Jaipur,Hyderabad,JAI-GUW-LUC-HYD,17:01,19:38,5h 15min,2 stops,No info,7941,31
3105,Star Air,2025-11-21,Delhi,Kolkata,DEL-VAR-IND-GUW-KOL,19:47,19:45,11h 0min,3 stops,Red-eye flight,14408,11
3106,SpiceJet,2021-03-26,Bhubaneswar,Varanasi,BHU-IND-HYD-PUN-VAR,10:27,12:45,3h 0min,3 stops,1 Long layover,9272,55
3107,Air India,2024-08-21,Hyderabad,Varanasi,HYD-KOL-RAI-VAR,00:43,20:46,9h 15min,2 stops,1 Long layover,8905,101
3108,Alliance Air,2020-11-28,Bangalore,Hyderabad,BAN-DEL-MUM-HYD,15:38,12:36,14h 45min,2 stops,In-flight meal not included,12858,28
3109,TruJet,2021-11-25,Delhi,Ahmedabad,DEL-VAR-NAG-LUC-AHM,22:58,18:01,13h 15min,3 stops,In-flight meal not included,11483,21
3110,SpiceJet,2024-12-14,Indore,Mumbai,IND-SUR-AHM-MUM,09:42,09:45,12h 0min,2 stops,Extra baggage allowed,6683,89
3111,TruJet,2023-09-16,Raipur,Ahmedabad,RAI-GUW-VAR-AHM,03:29,05:12,5h 0min,2 stops,1 Long layover,13847,31
3112,SpiceJet,2022-02-03,Ahmedabad,Delhi,AHM-HYD-BHU-MUM-DEL,19:05,06:37,6h 15min,3 stops,1 Long layover,8672,67
3113,TruJet,2020-02-24,Kolkata,Mumbai,KOL-MUM,03:50,23:53,7h 45min,non-stop,Business class available,8798,45
3114,Star Air,2024-12-19,Lucknow,Mumbai,LUC-MUM,15:02,04:45,1h 0min,non-stop,1 Long layover,2664,72
3115,Vistara,2020-01-12,Delhi,Patna,DEL-SUR-COC-PAT,06:35,09:40,7h 30min,2 stops,Limited seats,12519,76
3116,Vistara,2025-07-28,Ahmedabad,Jaipur,AHM-JAI,10:14,16:03,11h 45min,non-stop,Extra baggage allowed,6733,100
3117,Vistara,2021-10-10,Varanasi,Jaipur,VAR-RAI-GUW-JAI,22:46,19:45,11h 0min,2 stops,No info,8224,67
3118,Akasa Air,2022-07-17,Guwahati,Pune,GUW-CHE-NAG-IND-PUN,10:54,09:28,10h 0min,3 stops,In-flight meal not included,15067,64
3119,AirAsia India,2019-02-15,Delhi,Pune,DEL-MUM-NAG-GUW-PUN,08:23,21:10,15h 45min,3 stops,Extra baggage allowed,13443,40
3120,Star Air,2024-11-17,Bangalore,Kolkata,BAN-KOL,16:26,23:43,13h 15min,non-stop,Extra baggage allowed,4164,54
3121,Alliance Air,2019-02-04,Indore,Delhi,IND-DEL,14:56,20:22,13h 45min,non-stop,In-flight meal not included,3880,48
3122,GoAir,2025-05-22,Surat,Ahmedabad,SUR-AHM,03:56,20:59,11h 30min,non-stop,In-flight meal not included,6355,139
3123,AirAsia India,2021-08-14,Lucknow,Kolkata,LUC-AHM-KOL,08:33,19:18,12h 15min,1 stop,Business class available,10956,72
3124,AirAsia India,2020-06-20,Raipur,Hyderabad,RAI-CHE-SUR-LUC-HYD,20:02,11:39,12h 45min,3 stops,Red-eye flight,9130,46
3125,Air India,2024-08-24,Cochin,Hyderabad,COC-RAI-PAT-HYD,08:53,09:06,7h 45min,2 stops,No info,7128,95
3126,AirAsia India,2025-08-10,Jaipur,Mumbai,JAI-NAG-KOL-HYD-MUM,20:02,12:18,6h 0min,3 stops,1 Long layover,10970,48
3127,Star Air,2024-04-12,Jaipur,Nagpur,JAI-GUW-CHE-PUN-NAG,22:26,07:23,6h 0min,3 stops,Limited seats,8376,18
3128,TruJet,2019-11-27,Nagpur,Delhi,NAG-BHU-DEL,17:49,16:12,3h 0min,1 stop,No info,4270,63
3129,Air India,2025-02-09,Indore,Raipur,IND-KOL-CHE-RAI,18:10,18:40,12h 0min,2 stops,Red-eye flight,12892,146
3130,Akasa Air,2021-08-04,Mumbai,Raipur,MUM-RAI,22:08,04:35,10h 45min,non-stop,Business class available,5487,144
3131,GoAir,2024-04-28,Varanasi,Indore,VAR-BHU-BAN-IND,07:48,01:24,5h 45min,2 stops,Business class available,14694,75
3132,IndiGo,2020-10-21,Patna,Guwahati,PAT-GUW,08:30,05:10,7h 15min,non-stop,Business class available,8285,118
3133,Star Air,2020-02-05,Lucknow,Hyderabad,LUC-PAT-CHE-KOL-HYD,23:36,21:37,1h 15min,3 stops,Extra baggage allowed,8867,35
3134,IndiGo,2019-06-15,Hyderabad,Surat,HYD-SUR,14:12,23:00,8h 30min,non-stop,1 Long layover,4992,102
3135,TruJet,2024-11-19,Hyderabad,Patna,HYD-PAT,04:03,14:43,12h 15min,non-stop,Extra baggage allowed,3551,42
3136,Air India,2023-12-07,Surat,Patna,SUR-RAI-COC-DEL-PAT,14:00,09:45,7h 15min,3 stops,Extra baggage allowed,6621,123
3137,Alliance Air,2024-05-09,Bangalore,Hyderabad,BAN-GOA-SUR-JAI-HYD,07:55,10:24,2h 45min,3 stops,Extra baggage allowed,14771,31
3138,TruJet,2022-09-10,Mumbai,Surat,MUM-PAT-BHU-NAG-SUR,23:37,23:43,14h 45min,3 stops,In-flight meal not included,16836,21
3139,AirAsia India,2023-11-16,Cochin,Surat,COC-CHE-BAN-SUR,16:28,23:56,12h 0min,2 stops,Business class available,5521,96
3140,GoAir,2025-07-01,Raipur,Surat,RAI-PUN-BHU-SUR,15:09,07:30,10h 30min,2 stops,Red-eye flight,8175,71
3141,GoAir,2023-03-04,Indore,Ahmedabad,IND-AHM,14:45,03:03,15h 0min,non-stop,Red-eye flight,9096,127
3142,Vistara,2022-09-24,Patna,Bhubaneswar,PAT-GOA-CHE-AHM-BHU,17:20,15:43,5h 45min,3 stops,1 Long layover,5704,87
3143,TruJet,2020-02-26,Bangalore,Lucknow,BAN-JAI-BHU-LUC,05:27,23:13,4h 45min,2 stops,No info,5146,57
3144,Akasa Air,2022-02-05,Surat,Varanasi,SUR-BAN-VAR,15:58,06:01,10h 15min,1 stop,WiFi available,3659,104
3145,SpiceJet,2019-05-19,Jaipur,Bhubaneswar,JAI-SUR-GOA-BHU,03:16,07:38,2h 15min,2 stops,1 Long layover,11092,89
3146,Star Air,2025-05-28,Hyderabad,Varanasi,HYD-COC-LUC-VAR,07:02,02:21,3h 15min,2 stops,Extra baggage allowed,11921,25
3147,AirAsia India,2021-10-12,Bangalore,Mumbai,BAN-DEL-LUC-RAI-MUM,10:55,12:06,15h 0min,3 stops,New aircraft,7734,81
3148,Star Air,2023-08-25,Raipur,Jaipur,RAI-BHU-GOA-JAI,21:58,20:54,6h 15min,2 stops,No info,8410,29
3149,IndiGo,2021-11-21,Ahmedabad,Guwahati,AHM-NAG-GUW,21:45,09:02,4h 30min,1 stop,Limited seats,7154,114
3150,Star Air,2021-07-07,Bhubaneswar,Ahmedabad,BHU-AHM,16:51,06:10,2h 0min,non-stop,Business class available,6960,52
3151,Vistara,2023-08-26,Lucknow,Ahmedabad,LUC-DEL-MUM-GOA-AHM,18:38,19:03,8h 15min,3 stops,New aircraft,16720,49
3152,Alliance Air,2019-12-19,Chennai,Jaipur,CHE-JAI,15:26,18:28,5h 30min,non-stop,In-flight meal not included,10661,62
3153,TruJet,2025-01-12,Pune,Surat,PUN-SUR,17:58,07:23,2h 0min,non-stop,Limited seats,11339,55
3154,AirAsia India,2024-06-09,Kolkata,Indore,KOL-CHE-RAI-NAG-IND,20:42,17:39,11h 45min,3 stops,New aircraft,7368,60
3155,Vistara,2020-12-01,Patna,Bangalore,PAT-COC-BAN,17:38,08:47,2h 45min,1 stop,Limited seats,9917,73
